index,mid,display_name
0,T121,''
1,T149,''
2,T020,''
3,T100,''
4,T164,''
5,T001,''
6,T075,''
7,T041,''
8,T102,''
9,T004,''
10,T084,''
11,T157,''
12,T051,''
13,T071,''
14,T086,''
15,T179,''
16,T063,''
17,T017,''
18,T054,''
19,T099,''
20,T044,''
21,T115,''
22,T189,''
23,T008,''
24,T190,''
25,T103,''
26,T073,''
27,T059,''
28,T147,''
29,T092,''
30,T034,''
31,T016,''
32,T024,''
33,T163,''
34,T181,''
35,T006,''
36,T192,''
37,T012,''
38,T028,''
39,T036,''
40,T077,''
41,T053,''
42,T067,''
43,T009,''
44,T144,''
45,T069,''
46,T026,''
47,T110,''
48,T032,''
49,T191,''
50,T097,''
51,T153,''
52,T152,''
53,T079,''
54,T037,''
55,T176,''
56,T081,''
57,T048,''
58,T184,''
59,T109,''
60,T150,''
61,T093,''
62,T013,''
63,T061,''
64,T091,''
65,T166,''
66,T187,''
67,T057,''
68,T172,''
69,T022,''
70,T118,''
71,T065,''
72,T146,''
73,T039,''
74,T030,''
